id,family_class,coeffs,R_struct,lambda_kind,theta_inf,theta_0,theta_star,trace_invariant,painleve_class,all_rational_4tuple
A040,A,"a:-8,1,-5;b:6,4",-2/9,integer-resonance k=2,1/2,-5/16,-2/3,-5/144,PVI-rigid-Q,True
A041,A,"a:-8,3,4;b:-6,-2",-2/9,rational-resonance 1/2,1/2,1,-1/3,23/18,Generic,True
A042,A,"a:-50,6,5;b:15,-1",-2/9,integer-resonance k=2,1/2,5,1/15,95/18,PVI-rigid-Q,True
A043,A,"a:-32,-1,3;b:-12,1",-2/9,rational-resonance 1/2,1/2,3,1/12,59/18,Generic,True
A044,A,"a:-8,-3,-3;b:-6,4",-2/9,rational-resonance 1/2,1/2,-3/16,2/3,13/144,Generic,True
A045,A,"a:-50,-3,-6;b:15,-3",-2/9,integer-resonance k=2,1/2,-2/3,1/5,-7/18,PVI-Schwarz-cand,True
A046,A,"a:-8,-2,-4;b:-6,-2",-2/9,rational-resonance 1/2,1/2,-1,-1/3,-13/18,Generic,True
A047,A,"a:-2,-1,4;b:-3,-4",-2/9,rational-resonance 1/2,1/2,1/4,-4/3,19/36,Generic,True
A048,A,"a:-18,-3,-1;b:-9,1",-2/9,rational-resonance 1/2,1/2,-1,1/9,-13/18,Generic,True
A049,A,"a:-2,-1,1;b:-3,-3",-2/9,rational-resonance 1/2,1/2,1/9,-1,7/18,Generic,True
A050,A,"a:-18,6,4;b:-9,-3",-2/9,rational-resonance 1/2,1/2,4/9,-1/3,13/18,Generic,True
A051,A,"a:-50,-3,0;b:-15,4",-2/9,rational-resonance 1/2,1/2,0,4/15,5/18,Generic,True
A052,A,"a:-32,-5,0;b:12,-6",-2/9,integer-resonance k=2,1/2,0,1/2,5/18,PVI-Picard,True
A053,A,"a:-8,-4,6;b:6,3",-2/9,integer-resonance k=2,1/2,2/3,-1/2,17/18,PVI-Hitchin-cand,True
A054,A,"a:-32,1,-2;b:-12,-2",-2/9,rational-resonance 1/2,1/2,-1/2,-1/6,-2/9,Generic,True
A055,A,"a:-18,-3,1;b:-9,-6",-2/9,rational-resonance 1/2,1/2,1/36,-2/3,11/36,Generic,True
A056,A,"a:-18,-2,-6;b:9,-4",-2/9,integer-resonance k=2,1/2,-3/8,4/9,-7/72,PVI-rigid-Q,True
A057,A,"a:-2,5,-4;b:3,-4",-2/9,integer-resonance k=2,1/2,-1/4,4/3,1/36,PVI-Schwarz-cand,True
A058,A,"a:-50,6,-5;b:15,-4",-2/9,integer-resonance k=2,1/2,-5/16,4/15,-5/144,PVI-rigid-Q,True
A059,A,"a:-18,-3,3;b:-9,-1",-2/9,rational-resonance 1/2,1/2,3,-1/9,59/18,Generic,True
A060,A,"a:-50,0,-2;b:-15,4",-2/9,rational-resonance 1/2,1/2,-1/8,4/15,11/72,Generic,True
A061,A,"a:-18,-1,-2;b:-9,-1",-2/9,rational-resonance 1/2,1/2,-2,-1/9,-31/18,Generic,True
A062,A,"a:-18,-3,-4;b:-9,5",-2/9,rational-resonance 1/2,1/2,-4/25,5/9,53/450,Generic,True
A063,A,"a:-8,-1,-1;b:6,-1",-2/9,integer-resonance k=2,1/2,-1,1/6,-13/18,PVI-Schwarz-cand,True
A064,A,"a:-8,-3,-5;b:-6,1",-2/9,rational-resonance 1/2,1/2,-5,1/6,-85/18,Generic,True
A065,A,"a:-8,4,0;b:-6,-4",-2/9,rational-resonance 1/2,1/2,0,-2/3,5/18,Generic,True
A066,A,"a:-32,2,-1;b:-12,-3",-2/9,rational-resonance 1/2,1/2,-1/9,-1/4,1/6,Generic,True
A067,A,"a:-32,-3,-2;b:-12,4",-2/9,rational-resonance 1/2,1/2,-1/8,1/3,11/72,Generic,True
A068,A,"a:-2,5,3;b:3,2",-2/9,integer-resonance k=2,1/2,3/4,-2/3,37/36,PVI-Schwarz-cand,True
A069,A,"a:-50,0,4;b:15,4",-2/9,integer-resonance k=2,1/2,1/4,-4/15,19/36,PVI-rigid-Q,True
A070,A,"a:-2,1,-3;b:3,3",-2/9,integer-resonance k=2,1/2,-1/3,-1,-1/18,PVI-Hitchin-cand,True
A071,A,"a:-8,-2,0;b:6,-1",-2/9,integer-resonance k=2,1/2,0,1/6,5/18,PVI-Schwarz-cand,True
A072,A,"a:-2,2,-5;b:-3,-5",-2/9,rational-resonance 1/2,1/2,-1/5,-5/3,7/90,Generic,True
A073,A,"a:-8,-3,6;b:6,3",-2/9,integer-resonance k=2,1/2,2/3,-1/2,17/18,PVI-Hitchin-cand,True
A074,A,"a:-18,-2,4;b:-9,-2",-2/9,rational-resonance 1/2,1/2,1,-2/9,23/18,Generic,True
