n,a_n
29,67689240088147970847.3131720209024258140084696267415016759315692364996474855679258088308907919073217465770324519990163070078645578508271296593535160090034292551404921883647069482354929738039114137168582135349197632970592589522289663041336026192068455
30,851446252594084054199.1446229112511261882108685057206043788555530973569275795802423265278097428843297987632491314773891303344028887451986685189193856863485984459071936200606523228628264301332148709002705622392582025237858703396028969397706213351500933
31,11078224389279420420841.89757522630557420366572377328805282857859775044671891529153677443597817482540102883622274125350055638722943033891624275820538796651811971163107613415989512803652080599787008151969689251834230168625103230275738411320839291687129
32,148929285245436966864965.414120097068936897738475664204287336742846738850224379311880052438011405958266576894447432623603797561973752257870295546235743837648467208383780737079493338684932328244205343332704723300634999480450939014568808053869065863288
33,2066516608728643562460649.312700298162291239798079813911956724567350823445511465615974689802785090051678255007250066558001020534369543681351844285701190132078021306991034738616132836969879498902650747029987216517458362746069163490930747449102490765362
34,29568256781054757503012989.97816750495121077746743383110647384543735932855968239122017320622400798373197743232457683847486086198793079631748595512098213804995424518759228675299456311737342850380891019329788238207217079549233711916156736360988778419243
35,435857659510454111448110421.8176510934453419359903644115015501058848155850320222879828313619136348318462029104872816856495883227519032754109070860545316901609808675325331342563924488836626322281904066223630730734166145156759921203851606928457797925644
36,6613367942066500988103497364.686381116789668737500997975527890230108814076381270885101828367481617373680355055834489144888284349131478667649338771851081624309956469682670395215356642677586330488215508134231384532063937178371709703036065937896577828801
37,103206609867837331867840463182.0818240992818045881716530719203019826060809972109913730041118017980949595349963688903100766209902352185547683002890621640284604788577964838616025394903430859199972334401474700018406540470464054377167502505522969689728586
38,1655259624900152563142653279227.729500200960155316502568109897694720110652666762754805977265573283110190929158878314976112963699576037591358668451226842408502284864945809230587504479098738748688231347422586677019923148314334655581711339433428261261854
39,27263595461949855024478476311090.95177548667500567114407321193623294658510557033956811657296991974430461324849463396009365332781227140675570928034965492269469649570115059967063840886341982414936674539129722489772332187520538112561141471071895013343898
40,460849839261197369083620475508330.4531603633252841712264525691085315869027250970904959283132376034138466494303553048461410135149221335788099703768674252564646914253676652483175838821745074429689673400872453323837168957426897290855175972892705966770812
41,7989342222448082947116175722041687.610755672650023805469818193633662918625483793510477404459530363987920897976589246385933434072756616821467599198012858140350576859675186972904944892934906135748295442849414279829382630845296505879368941918569001956795
42,141960592997474766960123223933677475.6700685978440955387229022982779269906774714126993994464973866720106692671987258767387499654497296656528062400500100825527529095690718910691512087809316697094206044844643597347429931681939780026857980464814453589885
43,2583881883387214077925416900846670386.841028079270278439442818652399044040979039615117235175449610700500845741258677224366076744040858467891408250728109196927385662535684529203689072650299936271852757943317171435503308676699205173842728916795568783097
44,48148249279777565663217988691077756179.5124024523893438446866025562443508109350970327072279814195680031453038309682269801651181852497359027798142082339856642358274907596549990622369639030266957964246332886636503708666319320236226734087116497301666623
45,918031266369256861528614041654184355496.3432606737472624979488806822664807788886669501687725060990065103830487380538051773944453177999660372253795090480024523014508119081302749853753224746299113029097010727600207105398556126630350488811758123996361941
46,17901118923538178087432407901669761502831.21387848630215602756641209061986948899503359629845939355814606096464505084229621595249599684241148032614082615054261261162400999335105859106229547772534449731482860122414420573730360798784686558770474020798684
47,356808341838863638759847667237746001983753.3516908588555615538437884917393709178484639790495787351131231321221805583630054452756703667750151498297624759301839691520956804191145060010778935922645406628300543878216942547685840171209944828581280439619012
48,7266369410904815834161985237290748390293542.155516363184763676392649863083548876961029768689641494233184182035473782706252043315051660433184044214206838030000987475120516113545652007130816206250597323268568103606953855085817757001434362934007343879443
49,151123398600586097731739142517986984757453915.0486022279767937874322842779676278594502236553676709424226712140079297983385392295581683443486764602576216656246127952418597232544147190658889088488281206906975524759279154082754735203521057341372675046902
50,3208410122174289743613272186199607764551886997.53321077496919168173688374631096332240444445464849017861852255277679303920015122069136663112764899481449177902777372611962487398594031269729017628733941503859865546859306151372549056398973136974303979355
51,69504303604110814591599242182807661602473653597.02462222676002892846126132692434092513323603798991637053442599159175073149661831727842134842277271935999303543568399892515619402358283141439605591741732285449767180334254579370313419707786310347769077745
52,1535762322937072053188427954816238805425532183513.371392624611472478384170900150004868672555527755535295057511056706519731966075652399881327040827225270713183395565531256939145200289373233698607999688850750940702833438498354705678678338283325667253691
53,34598746132103463391100559244958680275449003340855.72520511841592061430175068447672825629752305047497937404297169245803409614032600187692407899063426759391960827286776285521653310439276383607217769355453233628854419280119915707499387475056431663028318
54,794439111592011416146708203583143404025059002919463.8810940942783881720484004093619858230387923735517720116109943575403773985412033035409769503526774099929852277249408644783852150922317377316309507654160197327422426530398538634754071561821227839527471
55,18585344476484533896687060418539928127736323597072964.50217525116478592131972048315144589324651053098987130888071833402383129073684228863588886856228242977733326767270559089562581659954245846674729035414216140565332315448912249274280687237440939229628
56,442834890433126730944759857608456163719569602713202273.9853745198378434592560381050715076680780355029339361752012592255536307186071157290855626324146675382838152812312018610911121911845048104080570521213423213566865245993213630892281920806039655046987
