family_id,alpha_3,alpha_2,alpha_1,alpha_0,j_invariant,log_abs_j,tau_re,tau_im,branch,newton_iters,newton_residual,j_csv_vs_recomputed_relerr,abs_E4,log_abs_E4,abs_E6,log_abs_E6,abs_Delta,log_abs_Delta_petersson_w6,log_abs_Delta_petersson_w12,log_eta_norm,log_imtau,log_abs_E4_cube,log_abs_j_minus_1728,delta_R11_free,A_stderr_R11,delta_R13_free,A_stderr_R13,alpha_fixedA_R13,beta_fixedA_R13,gamma_fixedA_R13
41,1,-2,-2,-1,-3084.3373493975905,8.03441628186756,0.5,1.3109391088810123,vertical_half,6,1.0703450802546054e-125,2.2165137997130447e-15,0.9366206827311888,-0.06547689969711369,1.1322509957193752,0.12420768287033751,0.0002663970175465771,-6.606060270429149,-13.212120540858297,-0.2075665719209107,0.270743757387882,-0.1964306990913411,8.478938180497117,-0.016458645969213315,0.0010167189956673775,-0.005792729443773403,0.001880311456847544,5.9996574713963735,1.880725303848887,-4.323668761569489
42,1,-2,-2,2,1729.7297297297298,7.456298407647707,0.0,1.008380026915457,imag,11,1.1041371813848172e-136,0.0,1.432015595140108,0.35908295894012243,0.054190308251113435,-2.915253201080868,0.0016977158095151865,-6.328400916313549,-12.656801832627098,-0.261597094156245,0.008345109427278046,1.0772488768203674,0.5479651707154864,-0.015005560924743477,0.0008869973166040226,0.00010280092385794859,0.0007381274965466428,5.999091406777315,1.8294873506991238,-2.946030200460664
43,1,-2,-1,-3,-200.01822323462414,5.303395566808274,0.5,1.04396111318195,vertical_half,8,5.801224555944926e-145,1.1782481903784476e-15,0.6643002372523,-0.40902106716468584,1.6809987712681669,0.5193881234733065,0.0014656276766224399,-6.267338234924086,-12.534676469848172,-0.25038353290765775,0.04302224085671683,-1.2270632014940575,7.564247927011,-0.01302633537480169,0.0008287577138746026,-0.0011928384796053848,2.5483544108103635e-05,5.999425893859014,1.8821990891579712,-6.189463605125842
44,1,-2,-1,-2,-372.06779661016947,5.921760163476384,0.5,1.0874715421067862,vertical_half,8,1.9079601305670256e-175,1.2477090157314603e-15,0.743816568438669,-0.2959608223444378,1.5240681541244705,0.42138317681863485,0.0011060517865974135,-6.303826660889356,-12.607653321778711,-0.24169561533856276,0.08385531546064152,-0.8878824670333134,7.649724907290475,-0.01254498141657745,0.0007858717943453954,-0.03723763272958269,0.016121131858518534,6.0030058534107535,2.212004527961183,-4.927806758723128
45,1,-2,-1,-1,-1009.2873563218391,6.917990080579408,0.5,1.1782439354851677,vertical_half,7,1.1412961884684323e-148,1.1417319782457926e-15,0.8545575533738782,-0.1571714254191643,1.3009624307474947,0.2631043219016493,0.0006183140554489273,-6.404363210713811,-12.808726421427622,-0.22584218217413374,0.16402513975576688,-0.47151427625749287,7.9147226930517105,-0.012063935954304661,0.0007430505588885446,-0.015420818928951974,0.006373310573462421,6.000853427784506,2.0141731423804576,-5.140710170995048
46,1,-2,-1,1,1792.0,7.491645473605133,0.0,1.051680338753576,imag,9,1.3085308960970008e-173,1.2688263138573217e-16,1.3278696359603124,0.2835758805431393,0.2891706055935354,-1.2407384342728924,0.0013065568615520616,-6.338024706064503,-12.676049412129005,-0.2514870608426479,0.05038920764015913,0.8507276416294179,4.1588830833596715,-0.011102768969324828,0.0006576141161666991,-0.0013164981986104607,8.28054764218613e-05,5.999469632822185,1.8873787045976704,-3.2933555528088987
47,1,-2,-1,3,-2832.516129032258,7.949273667858255,0.5,1.2997991353892475,vertical_half,6,8.816085800738219e-124,5.044593682824644e-16,0.9320372854815238,-0.07038245921529654,1.1417492414914583,0.13256150874419864,0.0002858429382910532,-6.5868096170640875,-13.173619234128175,-0.20889796538841382,0.26220974129035945,-0.21114737764588962,8.425191082294642,-0.010142831330769653,0.0005724813818223329,-0.008233118931997296,0.0031841891630434624,6.000165241613335,1.9519827753770693,-4.101412537305358
48,1,-2,0,-3,-48.33038348082596,3.8985401890006726,0.5,0.9738574293878506,vertical_half,9,1.1992226371728803e-140,1.4200524214194136e-15,0.4821948957293596,-0.7294068986719306,2.029951514439117,0.7080119082557063,0.0023197841962816065,-6.225223291187675,-12.45044658237535,-0.2660068944125323,-0.026490362452183232,-2.188220696015792,7.482304932985987,-0.008673012747568265,0.0005598288526754215,-0.0007711457558308155,1.65931998695921e-05,5.999630683013313,1.9244112540942484,-6.904260397799375
49,1,-2,0,-2,-95.25581395348837,4.56700937605517,0.5,1.0029269481973053,vertical_half,9,2.588039196357659e-176,2.863115261819838e-15,0.5672002273167189,-0.5670429029943438,1.8688853157813563,0.6253421653180633,0.0019156567590861832,-6.240158721861579,-12.480317443723157,-0.25927594515476454,0.0029226730245384414,-1.7011287089830314,7.508379090644937,-0.008195546104404983,0.0005174719101613024,-0.000757536929380187,1.616495063034095e-05,5.9996351404179595,1.925109899475565,-6.08799855486737
50,1,-2,0,-1,-277.6949152542373,5.630117689808507,0.5,1.0658173882955242,vertical_half,8,2.5260152435247334e-160,1.459356788999911e-15,0.7068945767810756,-0.34687373766790736,1.597277770751243,0.4683007869519208,0.001272026098053235,-6.284692263755584,-12.569384527511168,-0.2459266762739139,0.06374200553027509,-1.040621213003722,7.6037458708410774,-0.007718383264526452,0.0004751849131162117,-0.0030202978749773735,0.0010178378673608175,5.999870191562739,1.9470335219536268,-4.671670025258433
