n,a_n_real,a_n_imag
345,7.02657376348495232651741942954314833326463915519579768881281e+569,0.0
346,-8.57073217398612576286630893458511202544877626530810258663614e+571,0.0
347,1.04845366049300183694280365015085869215135493952390995748423e+574,0.0
348,-1.28627530180115477684484120020462082318308514850558177500569e+576,0.0
349,1.58258989515673468125039591000624536303532459034534047387948e+578,0.0
350,-1.95276070555877568075140674177491242338864089273150205727238e+580,0.0
351,2.41641922331453166226479800893140809805603487216982719009743e+582,0.0
352,-2.99871096018710583906828781138038963081847027835822810216368e+584,0.0
353,3.73192130551200044907552595165921020595606360731118976549801e+586,0.0
354,-4.65760214119699892416981856391503784847362582984276682631801e+588,0.0
355,5.82935968589723337343904418798440562942843742716638992914262e+590,0.0
356,-7.31651737019171174631699885974369712213422618948356386322392e+592,0.0
357,9.2089392091386021567847787228569684810631411109745528395442e+594,0.0
358,-1.16233956398151291942782067114801487747200977318708387279466e+597,0.0
359,1.47119840093482596738147191302766972931097713728302204215172e+599,0.0
360,-1.86732919826197334388145416391985590710227296173750757372731e+601,0.0
361,2.37672307436400494085631748461521289390312333670567752257284e+603,0.0
362,-3.03347888698323513589366125934658127514222143968970396224533e+605,0.0
363,3.88243986569932180028423178501784749246327698606596786943456e+607,0.0
364,-4.98272079017581947309467017745236500033241677567245194761828e+609,0.0
365,6.41243717417124511250586632269126823796114968513058487726303e+611,0.0
366,-8.27506042511226296416287362712159694776526158552937616370706e+613,0.0
367,1.07079773467676870083312015242889631897785038536090186736648e+616,0.0
368,-1.38940446817018361511645605012729591558793421283239393194987e+618,0.0
369,1.80772220054386185327343011571565949161973032513118802673876e+620,0.0
370,-2.35837703980567160973241500141994908836632702672154051545152e+622,0.0
371,3.08510636002730028117955733667974600662212749577029871837336e+624,0.0
372,-4.04668340319477342996767260227562181624786438176570675954274e+626,0.0
373,5.32227541176931134164478792157593745787635341702452967735313e+628,0.0
374,-7.01877548986576225600424799882356276092876311082831213263948e+630,0.0
375,9.28085796949080773512132307996526673280335836970214849328781e+632,0.0
376,-1.23048002019884300961018788193864648307523565090010411440902e+635,0.0
377,1.63575245955883090685621554990859655988135296373548212475178e+637,0.0
378,-2.18028919064536712624075778958790119814191996239758541736439e+639,0.0
379,2.91380892815518964104136596654872288643503519861874846284527e+641,0.0
380,-3.90441027089119146709950408426053107611777393047101922401317e+643,0.0
381,5.24558838231779217847438740888628805355183143169243935453975e+645,0.0
382,-7.06601164556234868638873649754042015079223916585624845022714e+647,0.0
383,9.54317471552559309815312352449419385933588530146945028378212e+649,0.0
384,-1.29225080329966577171210024804003648102616600357046732606697e+652,0.0
385,1.75441849046401197688069845552133469155056746971672575048358e+654,0.0
386,-2.38808117373877322864653257535560048096697358263108993361971e+656,0.0
387,3.25905393575832061766094306185329251135073116946118333090386e+658,0.0
388,-4.45920737917436774474345942878426288217889123139295933815455e+660,0.0
389,6.11708551182927218482714296272026968725747306396672356760707e+662,0.0
390,-8.4129693707034532225240465965395733943389930030791773360444e+664,0.0
391,1.16002959306193267743814598710845946313297636384474309036156e+667,0.0
392,-1.60361820693853942758539862148571500857696318121287519097037e+669,0.0
393,2.22250218649456675017071867632818602293714508848753003550913e+671,0.0
394,-3.08808963441823022855934639587179296196939028820561518034213e+673,0.0
395,4.30171138299854598245405967055267595416239160316865579449858e+675,0.0
396,-6.00749630648225047124332252400768460407581107507221304548529e+677,0.0
397,8.41092664764330737718768980441169901715327942523838008155773e+679,0.0
398,-1.18056389808503531520669873649945115069250649583364516174846e+682,0.0
399,1.66122215820199853092614678287924493047950817597762364057236e+684,0.0
400,-2.34345034054746145996771347180441427248883070853130937234196e+686,0.0
401,3.3141402952284636433553457120082295589749003692121701500322e+688,0.0
402,-4.69862087317586563231964005662665848749577199804458128952961e+690,0.0
403,6.67807969630769062279297786012078241323240909771488446950207e+692,0.0
404,-9.51506553076734888910393688010150133171463639651491672088804e+694,0.0
405,1.35909022104624095640780253729983865728448491404297221440809e+697,0.0
406,-1.94606995969129125735926839463444339841087019817838756459942e+699,0.0
407,2.793441747231395886191349924422098474103214709271408313866e+701,0.0
408,-4.01965855904764873211717868947153052099654850460427733617861e+703,0.0
409,5.79835047921351031152458884289919296807081332629440708733878e+705,0.0
410,-8.38461073261008073290761309781922017665681306283246005153011e+707,0.0
411,1.21540745128722816647157218375767209668323492700008186364394e+710,0.0
412,-1.76611446947127747796010506643627711327096767556026991217172e+712,0.0
413,2.57259366579977168822389863044089446213304405394468687826068e+714,0.0
414,-3.75643932204363108058149709626581461714851953831980268134443e+716,0.0
415,5.49834325298440801774660418856124187263526257619252162284373e+718,0.0
416,-8.06742755232024253719179428156682348492223094014301092874277e+720,0.0
417,1.18654313885632877795449609407434329065558533943551729556749e+723,0.0
418,-1.74934196360878063034040368238166906388332694558776117450468e+725,0.0
419,2.58527128238585912173291137425896933810642436231218044803401e+727,0.0
420,-3.82979272745556884452108851252659322801816699069472987265726e+729,0.0
421,5.68695359959910301603786655205772453393668195326274834707602e+731,0.0
422,-8.46480395153244028682580887743799506616556199449720686744597e+733,0.0
423,1.26294511584833245576897236407495365106583005735056132977813e+736,0.0
424,-1.88877387424386934357975247503967709283046747834750650165844e+738,0.0
425,2.83139815339374263480853796048170988838395225984339640412509e+740,0.0
426,-4.25446538699615219430965864716509523032556177437987828647478e+742,0.0
427,6.4078112887936007150993006224421553159932123014598981560239e+744,0.0
428,-9.67370204652487179432293092377614316907650825795800567718269e+746,0.0
429,1.46383320285155323889295303069913872208348143660050384816653e+749,0.0
430,-2.22026085930130779909517709750946367971210253420171351761963e+751,0.0
431,3.37541809873077006156547602263832398192679029662271567680438e+753,0.0
432,-5.1435144039448847819528605670114656151300867806637224610233e+755,0.0
433,7.85595201250501292877466587739983266543818545572328627020978e+757,0.0
434,-1.20265713532565064383472975239364721896852221642237963605951e+760,0.0
435,1.84538367793511399186839619394831896825429869239802335863988e+762,0.0
436,-2.83812189759743237010973043699841986918534030720115033061997e+764,0.0
