n,a_n_real
104,117567971324619270254393001604806720005609213261668432584939773723008883294789424378748239800006043171728039554526750343.93120684955770864070442185878116925450014467977840646054835829118414911424518505306631681599819576070903289853573799766022746215160030606587153746103512246442088830850080891946582026235416078689998732678914399935089182250153370962
105,4324604766446174992546555480403648088945356445369256431967860134657601395204364354241264675412702488093221854883502402836.9686165368337833656588712035777057193156240771324583070227333639214104511774934871884285667969921415781759107788172367087739586295085448576837538490220927627426253747448401852313769456848833433698463159432548265842977830662255240
106,160604086124445347722556492382924985065187046081681698083157497066739435426795698274752717732111117950681714838236986299318.78958655153129641247891265172484189572312868614227230831840578774318747547058696042118977047702037599096835110237148297473713615021534577454190242484558137342997729442819310077729891258816698720274974269784350015422870227578333
107,6021160775890085429677565674138872764483523623211086852328103843639602003354461999816674486747411985918790270237673622950201.4088457299525844001510778420327103953433241962177000917055741693962386614898364632907484821974210009224357119392015760620303583055516165204092230413900759486752109731374329676769811442085847381154046288554132563363962046910827
108,227865594023454341554771662694532792512714499444016586489123072758735855217503810506891281674924946754501009223487874289059160.27926034794238373458010559037781040306126040826191555298710003291114133883394273046380307510663288273839426223135329953206237029527926382774547518002124202763518178356782362300807204215284585559725819499241311532085110419619
109,8703908809834741818372729679727421372115415443447753492596203368425369269895289376513981653643849980624818042085101998501020615.1433525384199842521454067398482613512917646322122086629508938195256962352065907906553143534544625897712391980900504763339742459945910370950516813932534660583456386157197098358494092341648937828742733702000045606392414517250
110,335544249604322510621158194534059539073007941642847028746051332333672133461490023806001055395799486712717814217083192430814518915.55563452189302172635045459301311559774862995133843147539542107121856253526458595590859869544456991120641283538280732097427543272048851172278384213738006814278445585462692307524832885245275514100369544050130338041025995318
111,13054152484284867619104187746917027093498391926660817753192928662257874835335370396319511349183020130667571226419369620008040201035.990565581158980033317218089747647125062245553662125057606928447047443343594161183502661414955405048128619555150018811452726661292842227487108159851299027172600252818546818098117691676992425972584841570868346330312783226
112,512477916424111779439162111594211263928438710822366925180491988837154825406790184455573050588400272049066629118622226172513540768884.95544617655661774435077801506670091523435439235099197219093640746768581281893833368575914572542082086250339832471923257848174322958334731052575387880861843797064767320346929472674579950234459930035211243119276031848219
113,20299906859148799782998740858177874168746849155127063248739510568127716232879368381338331843224676789046784133100719880752067614462181.528687228851572879758978623264921306796385962941106473312865329747981568494844931796002668882859514559270434983646581780671430381021687674249234986970958043389798204534216795893028068329553763185279522773062936630319
