k,a_k
360,2.8760435912114145240382245002695235286474104392332344891177106988970764890001909e+546
361,2.588285803786180021977852529922860595361138193853218404738877031041292491341449e+548
362,2.3357902396329309175169763438134472076083738574333646121256159531657533573343074e+550
363,2.1137662416517099570707615659196264634751188504209037121617105705114271222327151e+552
364,1.9181310246996033913253673922404149418153308010019389815236092927490995348628889e+554
365,1.7453980202572258587464948309127130530490775765969771714677342102900401904501858e+556
366,1.5925838457588563914443518884534045180485908927217903002655894186013688542747139e+558
367,1.4571306395780450061714771424644425966668868705163442343515988308372125670407032e+560
368,1.3368410976513179304701982241434238515543698752287238326722554675460622056256977e+562
369,1.2298240298988172826354436689669203705807315914262119802496735792536288400965829e+564
370,1.1344486460994657704239151628758349858459475068648387510077006197304879996422384e+566
371,1.0493060993547159881261381944314898929173457344268609199793271201111503537885668e+568
372,9.7317707483630025058085100092918300419171475186567875807467421544307570995486064e+569
373,9.0500442345291040069419474486945421047222384829050975428211172133178175955544178e+571
374,8.4387001344582950690487734511600790897010505553041182261270699483519850552239398e+573
375,7.8897511501181226727175717525377890736280610549665721858380150496443706371926068e+575
376,7.3962374971117792396362834019042445512409241591880633029450355688275728593204764e+577
377,6.9520853237433726513427131108664763127766497430962727051102368907628432189440827e+579
378,6.5519861228738583432740488130750410166386582466235779789320724205917849096839427e+581
379,6.1912938570577374652564899835232477990446041390992995606833088893226933754928435e+583
380,5.8659370571868203811880370867820668924450285655550554666942187981100625211094411e+585
381,5.5723436019953259368123433527641666236255473171508843754509019784221262313577741e+587
